place_id,restaurant_name,address,latitude,longitude,restaurant_rating,user_rating_count,price_level,primary_type,all_types,search_area,searched_as,reviews,bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m
ChIJsZ5mY70Z6zkRRBczgL9a8ms,JAR - Just Another Restaurant,"Pipal Bot Marg, Kathmandu 56900, Nepal",27.6995461,85.3376871,4.3,443.0,PRICE_LEVEL_MODERATE,restaurant,restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"This restaurant is located in Purano Baneshwor, near Apex College, and offers ample parking space for both four-wheelers and two-wheelers, which is very convenient. The ambience is excellent, creating a pleasant and comfortable dining atmosphere.

The food overall was average, as was the service. Among the dishes, the Mustang Aalu stood out as the best option compared to the others. However, the buffalo wings were disappointing they lacked flavor and the portions were quite small. On a positive note, the staff were friendly, supportive, and polite, which added to the overall experience. ||| A great place to hang out and enjoy delicious food at a very reasonable price. The ambience is pleasant and makes it a comfortable spot to spend time with friends or family. The food tastes really good, and everything we tried was well worth the price. I’d especially recommend trying their pizza. Overall, a great value-for-money restaurant that I’d happily visit again. ||| ""JAR"" catchy name—short, memorable, and versatile. For your awesome chicken cheese ball, it evokes a sealed jar of deliciousness, freshness, and homemade quality. It suggests a hidden treasure, a comforting surprise. Perfect for a cozy spot where every bite feels like a little gift. JAR works. ||| Food is good. Service needs to be improved. Hot water means HOT not lukewarm. Our order was forgotten twice. Second order did not come at all. If this type of service continues you will be just another restaurant nothing special. ||| Must say a really good place for having a chill time.
Ambience was great and so was the food.
I really liked their hospitality, service was really fast and the staffs were polite too.
Taste and quantity of food really justified the price but drinks were average.
Overall we had a great time.",26,1,0,44,22,9,1,53,5,21,52,35,15,20,4.265,87.7,66.24046147681823
ChIJ5SO0EQ0Z6zkRTMnqUebrTqA,Drishya Lounge - Best Lounge in New Baneshwor,"Devkota Sadak, Kathmandu 44600, Nepal",27.6922623,85.3364717,4.4,1180.0,PRICE_LEVEL_EXPENSIVE,restaurant,restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"I believe this is the best restaurant in Kathmandu.  Excellent atmosphere,  location and view. Food quality is superb.  Toffu and Black mushrooms with coriander i think world best. ||| Location is superb, overlooking Kathmandu  city, to the airport site. Food was good. Great ambinece. ||| I had the pleasure of dining at Drishya Lounge today, and I can confidently say it was an exceptional experience from start to finish.

The food was absolutely fantastic! Every dish was expertly prepared, bursting with flavor, and beautifully presented. From the appetizers to the main course, each bite was a delightful experience. The ingredients felt fresh, and the seasoning was spot-on. The Chicken BBQ stood out as a true highlight — the balance of flavors was simply perfect.

The ambiance was equally impressive. The interior was stylish, with a cozy yet modern feel that made it perfect for both casual dining and special occasions. The lighting was just right, creating a relaxed atmosphere that made you feel instantly at ease. The staffs were attentive and friendly, ensuring we had everything we needed without being overbearing.

The only slight disappointment was the food stuffs quantity in relation to the price. However, this could likely be attributed to the prime location of the lounge, which naturally drives up operational and maintenance costs.

Overall, this restaurant offers a memorable dining experience that I would highly recommend. Whether you're looking for a great place for a date night, a family gathering, or a night out with friends, this spot checks all the boxes. I can’t wait to return! ||| Its honestly one of the prettiest spots I’ve been to in Kathmandu. The rooftop view is insane, you can literally see the whole city and even the mountains on a clear day. The vibe is super chill, the music is good, and it’s the kind of place you want to sit for hours just soaking it in. ||| The food was delicious and tasty. staff was very friendly and attentive. You can see 360 view from here most recommended place",43,4,1,46,36,12,1,66,6,16,80,39,13,44,4.247727272727272,159.47727272727272,3.8824334514012726
ChIJTdMmLgAZ6zkR84zXOWwdgPE,Pink Putali Restaurant & Bar,"4 Chhakku Bakku Marg, Kathmandu 44600, Nepal",27.6890639,85.3342954,4.8,90.0,,restaurant,restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"Newly opened R&B in New Baneshwor, Kathmandu!!

Absolutely best place for a hang out, live music, great food and quality time woth froesnds and family!! Definitely recommend! Do visit guysss 🫶✨ ||| The food is worth the price and the hospitality is top notch which are extremely rare these days in Nepal… ||| Best open momo around Baneswor. The momo is just wow. It melts in my mouth. Been here more than 3 and momo has always been the must order. ||| Went there through a friend, didn't expect much from a normal restaurant at the beginning but the ambience was promising for a conversation as private spaces are available and the service was quick which was never expected from a copy place but not a single flaw on quality everything we ate was really good. We are making sure to stay there atleast once a week. ||| food was delicious
Chill involvement with live music
Staff is very friendly ♥️♥️♥️ special thanks for mis Aliya Rai",57,6,3,65,49,12,1,67,9,15,65,28,6,47,4.23404255319149,204.25531914893617,35.07719456602972
ChIJ3Ru72S8Z6zkR6JYG3tsYlGk,Munch N More Restaurant and Bar,"Janata Sadak, Kathmandu 44600, Nepal",27.681549,85.3413401,4.9,60.0,,restaurant,restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"Food is satisfying at reasonable price and also comes in good portion. Light house theme sitting place makes its more camera ready. ||| loved everything

we tried.. chowmein, momo platter, sausage and sundae icecream

everthing was OP..

Recommend this place ... must visit this place once

i loved their service and thier staffs ( kind and very polite).

And for owner i recommend to add more veg items. ||| Excellent service. Highly recommended
Very professional and helpful. Thank you
Great experience. Friendly staff and fast service.
I’m very satisfied with the service. 5 starsGood quality and excellent customer support staff harry was best ||| There is very  wonderful and amazing environment and good service plus yummy food ||| Very good service and atmosphere. Food was great 💗💗",5,0,0,23,6,4,0,66,4,26,77,16,17,14,4.371428571428572,83.21428571428571,5.22327030966246
ChIJJbL_SlQZ6zkRFWSjunPmuVU,27 Degree North Restaurant,"Shree Krishna Sadan, Chhakku Bakku Marg, Kathmandu 44600, Nepal",27.6888123,85.3340805,4.7,43.0,,restaurant,restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"Live music every Friday with best service and food. Should try pizza ||| Great experience overall! The food was delicious and the portion sizes were surprisingly generous—you definitely won't leave hungry. Good value for the quality you get. Highly recommend! ||| The food and ambience was very good... I think you have to work on the washroom area... It was slightly dirty and not modern... ||| The food and service were very good. Need to focus on mutton tawa. However, the space should be more enclosed, as it can be difficult to stay comfortable during winter. ||| The food was delicious and the portions were generous. It was very satisfying and definitely worth the visit! 😋🍽️",55,6,3,66,46,11,1,65,10,15,64,27,7,47,4.270212765957448,200.89361702127658,35.07719456602972
ChIJp-pKxdsZ6zkR-2FrrJZPwUc,Vertigo BBQ,"M8PP+R5, Kathmandu 44600, Nepal",27.68712,85.33547639999999,4.4,488.0,,barbecue_restaurant,barbecue_restaurant|pub|meal_delivery|fine_dining_restaurant|bar|food_delivery|restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"At the very centre area of Baneshwor lies this place at the rooftop giving us views of the valley and also the BICC . The staffs were attentive. The place was good, aesthetic as well. The food was so yumm. Everything we tried tasted good. It's a perfect place to go with friends or family as well. There was live music too which was too good. I enjoyed it thoroughly. ||| Chicken items are okayish. They taste good but the portion were small compared to the price. The pizza is not recommended, it was like having cheese over biscuit! Atmosphere is nice.
Recommended for get togethers with bbq, meat items and beer! ||| The ambience and the food is good. It also has a rooftop with swing. The view from the rooftop is awesome. However, the hospitality    needs some improvements. It has just been over a month that this place has come into operation. Hopefully they will consider the hospitality. Other things are great. ||| I was here to enjoy the rooftop view but due to bad weather it wouldn't be possible. I have visited this place of Thursday, there was an offer 🍻""beer on MRP"". Place is very nice, neat & clean. Staffs are very cooperative. Food is pretty good with affordable price. If we take about ambiance it's superb. Must visit this BBQ. I will visit this place again definitely. ||| Both Food and view are amazing. Can be a perfect date place for couple. No more comments just you can go and enjoy the view and food together❤️",51,6,2,60,44,15,1,76,11,14,91,27,9,40,4.2675,181.45,8.046850782790877
ChIJV12M1MEZ6zkRtD1gakfrWgo,Gaunghar restaurant,"pink bridge, Bijuli bazar bridge, Kathmandu 44600, Nepal",27.69235,85.32952759999999,4.9,10.0,,restaurant,restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"Great tea, and good ambience. Yet to try some food, will definitely return for that in the future. ||| Amazing experience! The food was flavorful, the service was impeccable, and the ambiance made it even more enjoyable. Highly recommend! ||| ♥️🍹🍷☕  we are ready to serve you a delicious authentic 🤤 food 🍚🌾 and drinks 🍻 🍸 enjoy the live match ✅ with #gaunghar ||| Best place to visit 🥰 live match with beer 🍻😁 ||| Delicious 😋 yummy ❤️🍸🍷",20,2,0,31,24,4,1,72,10,13,67,21,10,22,4.4772727272727275,41.95454545454545,11.63823692241753
ChIJ2e9eEnYZ6zkRnuoRZipkN10,"Jimbu Thakali by Capital Grill, New Baneshwor","M8PR+WC9 Minbhawan, Minbhawan Marg, Kathmandu 44600, Nepal",27.6873502,85.34074369999999,4.4,3442.0,,restaurant,restaurant|family_restaurant|coffee_shop|cafe|pizza_restaurant|bar|food_store|store|food|point_of_interest|establishment,Baneshwor,restaurant,"""We had a wonderful time at Jimbu Thakali! The food was authentic and delicious, but the service really stole the show. Our waiter, Mr. Samuel, was excellent—incredibly friendly, attentive, and always available right when we needed him. It’s rare to get such great customer service where you feel genuinely looked after. Thanks to Samuel and the team for a great meal!"" ||| I recently visited Jimbu Thakali, and I must say, it was an incredible experience from start to finish!
The food was the absolute highlight—authentic, flavorful, and perfectly cooked. It’s easily some of the best Thakali I’ve ever had. But it wasn’t just the food that impressed me; the ambiance was cozy and welcoming, making it the perfect spot for a meal with friends or family.
A huge shoutout to the staff and waiters as well. The service was top-notch—they were incredibly attentive and the serving style was professional and prompt. Everything truly felt 'Babal'!
If you’re looking for a premium Thakali experience with great vibes and even better food, I highly recommend this place. I’ll definitely be coming back!"" ||| We visited for brunch and unfortunately had a very disappointing service experience, despite the food being delicious. We were the first customers to be seated, yet we were the last to be served. Briefings for more than 1 hour. At the very least, there should be someone available to check on customers. My foreign friend was extremely hungry, which made the long wait even more uncomfortable.
We also requested warm water, which never arrived despite asking three times.
This restaurant used to be my favorite place for lunch and dinner. Every time I visit Nepal, Jimbo Thakali is always on my list, and I spoke very highly of it to my foreign friend. Sadly, this visit was a big disappointment and not the experience I expected or wanted to share.
I truly hope the management improves their service, as the food and reputation deserve better. ||| I would highly recommend this restaurant to anyone looking for authentic and delicious Thakali food. During my visit, I tried the chicken Thakali set, and it was extremely flavorful and satisfying. The food was served fresh, and every item in the set complemented each other perfectly. The spices and overall taste reflected the traditional style of Thakali cuisine, making the dining experience enjoyable and memorable.
One of the best aspects of the restaurant was the quick and efficient service. The staff members were attentive and made sure customers were comfortable throughout the visit. Although the ambiance of the restaurant was quite simple and not particularly unique or luxurious, the clean environment and peaceful atmosphere still made it a pleasant place to dine. The restaurant focuses more on quality food and customer service rather than extravagant decoration.
Apart from Thakali sets, the menu also offers a variety of other food options, which makes it suitable for different tastes and preferences. The welcoming environment added to the positive experience, as the staff greeted customers warmly and treated everyone with kindness and respect.
I would especially like to recognize a staff member named Ayush Kuwar, who was very friendly, understanding, and professional. He was extremely helpful and did his best to provide excellent service. His polite behavior and dedication truly enhanced the overall dining experience and left a very positive impression. ||| Others fine but the cost of a bottle of water is rs 98 !!!!, but the market price is rs 20/- for same !!",21,5,0,41,37,20,0,81,6,21,104,18,13,27,4.330769230769231,46.34615384615385,29.795274573325745
ChIJE5msHtMZ6zkRBPypp6QNiHY,Dalo Delights,"Kathmandu 44600, Nepal",27.6986722,85.3289875,4.6,74.0,,restaurant,restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"Order - Burnt Garlic Veg Fried Rice

Food on point ! Even at 9:30 am. Bhai taking orders was really polite and kind. ||| Wow and Wow.

The food is delicious.
The Drinks are reasonably priced.
The service is so good.
The place is clean.
The Jhaneko Mo:Mo was so yummy and filling. 9/10
The Mutton Taas was scruimptus. 8/10
The Chicken 65 was the Best of the Lot
9.5/10

They Deserve all the 5 stars.

Note---This place is 10 times better than the Overhyped and OverPriced Bajeko Sekuwa and Dharane Sekuwa. You get the same food for half the price.

Well Done guys. ||| Most cozy and comfortable atmosphere for day to day hangouts to simple events covering around 100 guests. The finest Chicken 65 I have ever tasted. ||| The Lowest I could give was 1 star, If there was -5 star reviews I would have easily given that 😄🥰 ||| The ambiance was so cozy .The soft lighting and comfortable seating made it perfect for a relaxed evening.
Dish we ordered was filled with flavor, and the presentation was just as impressive.",12,2,1,14,11,5,2,46,8,14,54,18,8,12,4.491666666666666,19.5,93.8538894708594
ChIJUdLoahQZ6zkRJ17GMqk5GQM,Tha Chhen Restaurant,"Balbhadra Marg, Kathmandu 44600, Nepal",27.6940265,85.33905229999999,4.0,48.0,,restaurant,restaurant|food|point_of_interest|establishment,Baneshwor,restaurant,"The Buff Choila was very good and so was the Chatamari.
The Bara wasnt upto it. ||| Tha Chhen Newari Cuisine is best for local Newari food. If you like newari dining, you should visit this specific restaurant which is located at mid Baneshwor. All the food was delicious but Buff Choila and Buff Sukiti was most tastier. The staffs were also welcoming and offered you food gently with best suggestions. Also the price of food is very reasonable.
Highly recommended to visit here for typically Newari Taste. ||| Our experience at Tha Chhen Restaurant was a mixed bag. While the food was undoubtedly good, the same cannot be said for the service we received.

Unfortunately, our encounter with the waiter left much to be desired. Not only did he initially bring the wrong order to our table, but he also failed to comprehend our subsequent requests, resulting in yet another incorrect dish being served.

Moreover, when we politely pointed out the mistake, the waiter's response was far from courteous. It seemed as though he was in a rush to “push us” out of the restaurant, which left us feeling unwelcome and disappointed.

Despite the delectable food, the overall dining experience was marred by the poor service. Tha Cheen Restaurant may have good food, but they certainly need to work on improving their customer service to match the quality of their cuisine. ||| Excellent Newari food. Went there for lunch today, after meal we were asked for our feedback and in reply we told them to open a branch in Lalitpur.
Must visit if you like Newari cuisine. ||| The food is really good with authentic newari taste.",32,0,1,41,33,12,1,68,3,18,71,41,12,31,4.23,146.53333333333333,134.38911895102314
